category,name,status,connectUrl
"Education","Discover Golf Courses & Book Tee Times Online · Greenfee365 ES",partner-network,"(id unknown — search in store)"
"Education","Learning with experts UK",partner-network,"(id unknown — search in store)"
"Education","Online Courses AU",partner-network,"(id unknown — search in store)"
"Education","Reed Courses UK",partner-network,"(id unknown — search in store)"
"Education","Talkpal - AI Language Learning US",partner-network,"(id unknown — search in store)"
"General","[France] Plaud.AI - CPS FR",partner-network,"(id unknown — search in store)"
"General","ACCIO GLOBAL TECHNOLOGY PTE. LTD AD",partner-network,"(id unknown — search in store)"
"General","ADB_Z1 Tech_CPS_US (Realtime)",partner-network,"(id unknown — search in store)"
"General","Addmotor Tech US",partner-network,"(id unknown — search in store)"
"General","Airhub App",partner-network,"(id unknown — search in store)"
"General","AliExpress Many Geos",partner-network,"(id unknown — search in store)"
"General","Amazon BR 2",partner-network,"(id unknown — search in store)"
"General","Amazon DE 2",partner-network,"(id unknown — search in store)"
"General","Amazon ES",partner-network,"(id unknown — search in store)"
"General","Amazon FR",partner-network,"(id unknown — search in store)"
"General","Amazon IT",partner-network,"(id unknown — search in store)"
"General","Amazon MX",partner-network,"(id unknown — search in store)"
"General","Amazon Prime",partner-network,"(id unknown — search in store)"
"General","Amazon US",partner-network,"(id unknown — search in store)"
"General","amazon.ca CA",partner-network,"(id unknown — search in store)"
"General","amazon.ch CH",partner-network,"(id unknown — search in store)"
"General","amazon.co.jp JP",partner-network,"(id unknown — search in store)"
"General","amazon.com.au AU",partner-network,"(id unknown — search in store)"
"General","amazon.com.be BE",partner-network,"(id unknown — search in store)"
"General","amazon.se SE",partner-network,"(id unknown — search in store)"
"General","Anker Technologies US",partner-network,"(id unknown — search in store)"
"General","AsbasComputers NL",partner-network,"(id unknown — search in store)"
"General","AVG Technologies",partner-network,"(id unknown — search in store)"
"General","Banggood WW 2",partner-network,"(id unknown — search in store)"
"General","Brightech Commerce",partner-network,"(id unknown — search in store)"
"General","carnegenuina.it IT",partner-network,"(id unknown — search in store)"
"General","Cashgamer App AD",partner-network,"(id unknown — search in store)"
"General","cz.mova.tech PL",partner-network,"(id unknown — search in store)"
"General","Dubai Aquarium & Underwater Zoo",partner-network,"(id unknown — search in store)"
"General","ESRtech.com Ecommerce CPS - Multiple Geos",partner-network,"(id unknown — search in store)"
"General","ExpressVPN UK",partner-network,"(id unknown — search in store)"
"General","fireflies.ai",partner-network,"(id unknown — search in store)"
"General","Guangzhou Yunbang Technology Co., LTD",partner-network,"(id unknown — search in store)"
"General","Hangzhou Weihong Technology Co., Ltd US",partner-network,"(id unknown — search in store)"
"General","HI-TECH for Gamer",partner-network,"(id unknown — search in store)"
"General","HONGKONG ELEGOO TECHNOLOGY LIMITED US",partner-network,"(id unknown — search in store)"
"General","HONGKONG YINTATECH NETWORK CO., LIMITED US",partner-network,"(id unknown — search in store)"
"General","HOVERTECH LIMITED US",partner-network,"(id unknown — search in store)"
"General","IM_Kling AI CPS WW (Realtime)",partner-network,"(id unknown — search in store)"
"General","Iolo technologies",partner-network,"(id unknown — search in store)"
"General","JuicyChat.AI",partner-network,"(id unknown — search in store)"
"General","KeeperSecurity WW",partner-network,"(id unknown — search in store)"
"General","Lalal.ai global",partner-network,"(id unknown — search in store)"
"General","LECHUANG TIANCHENG TECHNOLOGY (HK) CO., LIMITED",partner-network,"(id unknown — search in store)"
"General","Lechuang Tiancheng Technology(HK)Co., Limited US",partner-network,"(id unknown — search in store)"
"General","Logitech",partner-network,"(id unknown — search in store)"
"General","Logitech G EMEA 2",partner-network,"(id unknown — search in store)"
"General","MenaVpn AD",partner-network,"(id unknown — search in store)"
"General","MOVA Tech DE",partner-network,"(id unknown — search in store)"
"General","Murf AI",partner-network,"(id unknown — search in store)"
"General","MyFreeApp US",partner-network,"(id unknown — search in store)"
"General","Mysterium VPN AD",partner-network,"(id unknown — search in store)"
"General","Navee Tech Scooter US",partner-network,"(id unknown — search in store)"
"General","Nielsen Computer & Mobile_CPS_AU (Realtime)",partner-network,"(id unknown — search in store)"
"General","NordVPN WW 2",partner-network,"(id unknown — search in store)"
"General","NymVPN",partner-network,"(id unknown — search in store)"
"General","OnSpace AI US",partner-network,"(id unknown — search in store)"
"General","Orion Motor Tech",partner-network,"(id unknown — search in store)"
"General","Pai Wellness - CPS MY",partner-network,"(id unknown — search in store)"
"General","Panasonic + Technics CZ",partner-network,"(id unknown — search in store)"
"General","Panasonic + Technics SK",partner-network,"(id unknown — search in store)"
"General","PinnTech UK CPS",partner-network,"(id unknown — search in store)"
"General","PopAi",partner-network,"(id unknown — search in store)"
"General","PotatoVPN",partner-network,"(id unknown — search in store)"
"General","PureVPN",partner-network,"(id unknown — search in store)"
"General","Reolink Digital Technology US",partner-network,"(id unknown — search in store)"
"General","Retechtronics US",partner-network,"(id unknown — search in store)"
"General","sea.plaud.ai LA",partner-network,"(id unknown — search in store)"
"General","SetApp",partner-network,"(id unknown — search in store)"
"General","Shanghai HOTO Technology Co., Ltd. US",partner-network,"(id unknown — search in store)"
"General","Shanghai Yingta Network Technology Co., Ltd. US",partner-network,"(id unknown — search in store)"
"General","Shenzhen Anycubic Technology Co.,LTD US",partner-network,"(id unknown — search in store)"
"General","Shenzhen Zero Point Zero One Technology Co., Ltd US",partner-network,"(id unknown — search in store)"
"General","Shenzhenshi Aipaituo Technology Co.,Ltd-1 2",partner-network,"(id unknown — search in store)"
"General","SimpliSafe Home Security US",partner-network,"(id unknown — search in store)"
"General","skywork.ai SA",partner-network,"(id unknown — search in store)"
"General","store.igarden.ai US",partner-network,"(id unknown — search in store)"
"General","STORMTECH CA",partner-network,"(id unknown — search in store)"
"General","Suzhou 703 network technology US CPC",partner-network,"(id unknown — search in store)"
"General","Techem wycieraczki PL",partner-network,"(id unknown — search in store)"
"General","Techemmatten DE",partner-network,"(id unknown — search in store)"
"General","TechSmith US",partner-network,"(id unknown — search in store)"
"General","uae.plaud.ai SA",partner-network,"(id unknown — search in store)"
"General","Villatech, produits HighTech de milieu et haut de gamme FR",partner-network,"(id unknown — search in store)"
"General","Wai Yuen Tong HK CPS",partner-network,"(id unknown — search in store)"
"General","WECREAT TECH LTD",partner-network,"(id unknown — search in store)"
"General","x-tech.it",partner-network,"(id unknown — search in store)"
"General","Zhejiang Ouruitu Technology Co., Ltd US",partner-network,"(id unknown — search in store)"
"Marketing","BioWorld | Clarivate Analytics solution",partner-network,"(id unknown — search in store)"
"Marketing","Master Data Analytics AZB ES",partner-network,"(id unknown — search in store)"
"Marketing","Meta Marketing TW CPS",partner-network,"(id unknown — search in store)"
"Marketing","Tousains marketing",partner-network,"(id unknown — search in store)"
"Marketing","Veeam Performance Marketing Program",partner-network,"(id unknown — search in store)"
"Marketing","VIPRE Performance Marketing Program",partner-network,"(id unknown — search in store)"
"Writing & Content","AbeBooks WW",partner-network,"(id unknown — search in store)"
"Writing & Content","Autopieseonline24 RO PL",partner-network,"(id unknown — search in store)"
"Writing & Content","easynotebooks.de",partner-network,"(id unknown — search in store)"
"Writing & Content","it-versand - gebrauchte Notebooks, Laptops, Computer PCs DE",partner-network,"(id unknown — search in store)"
"Writing & Content","Marketing Seo IT",partner-network,"(id unknown — search in store)"
"Writing & Content","Museo de Cera Barcelona GB",partner-network,"(id unknown — search in store)"
"Writing & Content","Not in the Guidebooks GB",partner-network,"(id unknown — search in store)"
